MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	102.01172	s	10/19/2023 3:16:12 PM
Time	Ch 1 LVDT	Ch 1 Force
s	mm	N
48.420898	4.0503254	2132.4209
48.520508	4.0598722	2133.3035
48.620117	4.0667114	2134.0225
48.719727	4.0764623	2134.3843
48.819336	4.0828729	2134.6462
48.918945	4.092772	2135.5796
49.018555	4.0992646	2136.259
49.118164	4.1081142	2137.2395
49.217773	4.1156368	2138.1018
49.317383	4.1240034	2138.4001
49.416992	4.1334505	2141.2495
49.516602	4.1428971	2141.5603
49.616211	4.1502571	2141.9885
49.71582	4.1590958	2142.5559
49.81543	4.1668978	2142.97
49.915039	4.1760564	2143.2698
50.014648	4.1857572	2144.688
50.114258	4.1919332	2143.9385
50.213867	4.2005057	2145.3247
50.313477	4.2082553	2145.7148
50.413086	4.2159247	2146.5803
50.512695	4.2241859	2147.2949
50.612305	4.2316442	2148.4434
50.711914	4.2407084	2148.9011
50.811523	4.2481275	2151.6018
50.911133	4.2591996	2154.5503
51.010742	4.267652	2154.3062
51.110352	4.2778249	2154.0554
51.209961	4.2866278	2153.8701
51.30957	4.294692	2154.8098
51.40918	4.3028374	2154.7224
51.508789	4.311583	2154.9417
51.608398	4.3204718	2155.2275
51.708008	4.3285131	2155.374
51.807617	4.3353672	2156.8647
51.907227	4.3433852	2156.6362
52.006836	4.3521218	2156.4651
52.106445	4.3603153	2157.0632
52.206055	4.3675623	2157.1477
52.305664	4.3770542	2158.1077
52.405273	4.3825006	2160.2395
52.504883	4.3905563	2159.6624
52.604492	4.3995576	2161.4797
52.704102	4.4063115	2161.7527
52.803711	4.4146442	2163.8606
52.90332	4.423635	2164.2339
53.00293	4.4328403	2164.3611
53.102539	4.4386144	2166.1533
53.202148	4.4489999	2165.9231
53.301758	4.4554386	2166.9124
53.401367	4.464426	2167.448
53.500977	4.473506	2168.6753
53.600586	4.4809842	2169.2205
53.700195	4.4893923	2168.9639
53.799805	4.4990549	2169.437
53.899414	4.5079708	2171.2881
53.999023	4.5140309	2171.8926
54.098633	4.5224457	2172.8418
54.198242	4.5312634	2173.9797
54.297852	4.5405059	2174.3267
54.397461	4.5486298	2175.2173
54.49707	4.5571985	2175.0789
54.59668	4.5654526	2175.6951
54.696289	4.5734687	2176.6567
54.795898	4.5839381	2177.5935
54.895508	4.5887465	2177.8843
54.995117	4.5998149	2177.8203
55.094727	4.6070714	2178.7634
55.194336	4.6154413	2179.3965
55.293945	4.6248937	2179.6599
55.393555	4.6322412	2179.9417
55.493164	4.6407814	2180.959
55.592773	4.6502404	2181.5337
55.692383	4.6558337	2181.9773
55.791992	4.6653824	2183.4924
55.891602	4.6726871	2183.7734
55.991211	4.6805153	2184.5244
56.09082	4.6907778	2185.4058
56.19043	4.6968074	2186.2698
56.290039	4.7065439	2186.4524
56.389648	4.7149854	2186.5444
56.489258	4.7235022	2187.8218
